[2025-07-14 16:41:53,382][__main__][INFO] - Train
[2025-07-14 18:27:56,822][__main__][INFO] - loss: 7.9918, loss_tr: 2.1958, loss_up: 1.9517, loss_right: 2.2510, loss_up_aux: 0.5834, loss_right_aux: 0.6472, loss_scale: 0.0060
[2025-07-14 18:30:00,828][__main__][INFO] - loss: 7.9953, loss_tr: 2.1977, loss_up: 1.9488, loss_right: 2.2446, loss_up_aux: 0.5818, loss_right_aux: 0.6463, loss_scale: 0.0063
[2025-07-14 18:32:02,369][__main__][INFO] - loss: 8.0184, loss_tr: 2.1931, loss_up: 1.9557, loss_right: 2.2436, loss_up_aux: 0.5814, loss_right_aux: 0.6459, loss_scale: 0.0066
[2025-07-14 18:34:06,844][__main__][INFO] - loss: 7.9488, loss_tr: 2.1866, loss_up: 1.9415, loss_right: 2.2407, loss_up_aux: 0.5801, loss_right_aux: 0.6445, loss_scale: 0.0059
[2025-07-14 18:36:08,506][__main__][INFO] - loss: 7.9789, loss_tr: 2.1974, loss_up: 1.9477, loss_right: 2.2326, loss_up_aux: 0.5793, loss_right_aux: 0.6424, loss_scale: 0.0063
[2025-07-14 18:38:11,847][__main__][INFO] - loss: 7.9265, loss_tr: 2.1855, loss_up: 1.9358, loss_right: 2.2307, loss_up_aux: 0.5769, loss_right_aux: 0.6427, loss_scale: 0.0059
[2025-07-14 18:40:14,483][__main__][INFO] - loss: 8.0134, loss_tr: 2.2045, loss_up: 1.9572, loss_right: 2.2462, loss_up_aux: 0.5820, loss_right_aux: 0.6434, loss_scale: 0.0063
[2025-07-14 18:42:15,865][__main__][INFO] - loss: 7.9642, loss_tr: 2.1899, loss_up: 1.9481, loss_right: 2.2436, loss_up_aux: 0.5792, loss_right_aux: 0.6419, loss_scale: 0.0060
[2025-07-14 18:44:19,473][__main__][INFO] - loss: 7.9569, loss_tr: 2.1929, loss_up: 1.9437, loss_right: 2.2393, loss_up_aux: 0.5773, loss_right_aux: 0.6417, loss_scale: 0.0060
[2025-07-14 18:46:22,572][__main__][INFO] - loss: 7.9423, loss_tr: 2.1900, loss_up: 1.9395, loss_right: 2.2261, loss_up_aux: 0.5761, loss_right_aux: 0.6392, loss_scale: 0.0062
[2025-07-14 18:48:25,617][__main__][INFO] - loss: 7.9486, loss_tr: 2.1876, loss_up: 1.9375, loss_right: 2.2375, loss_up_aux: 0.5762, loss_right_aux: 0.6406, loss_scale: 0.0062
[2025-07-14 18:50:30,635][__main__][INFO] - loss: 7.9083, loss_tr: 2.1823, loss_up: 1.9403, loss_right: 2.2334, loss_up_aux: 0.5748, loss_right_aux: 0.6399, loss_scale: 0.0056
[2025-07-14 18:52:33,204][__main__][INFO] - loss: 7.8965, loss_tr: 2.1844, loss_up: 1.9306, loss_right: 2.2244, loss_up_aux: 0.5749, loss_right_aux: 0.6396, loss_scale: 0.0057
[2025-07-14 18:54:34,941][__main__][INFO] - loss: 7.8906, loss_tr: 2.1847, loss_up: 1.9239, loss_right: 2.2229, loss_up_aux: 0.5728, loss_right_aux: 0.6394, loss_scale: 0.0058
